UserID;Gender;Age;Occupation;Zip-code
4549;F;Under 18;K-12 student;99016
1508;F;Under 18;K-12 student;94539
1919;M;Under 18;other;94525
866;M;Under 18;K-12 student;8820
2853;M;Under 18;academic/educator;444555
194;F;Under 18;K-12 student;29146
2199;M;Under 18;K-12 student;60613
1182;M;Under 18;K-12 student;91326
1982;M;Under 18;K-12 student;80540
1955;M;Under 18;unemployed;3109
5637;M;Under 18;K-12 student;11102
5757;M;Under 18;K-12 student;5667
2236;M;Under 18;K-12 student;96782
1789;M;Under 18;K-12 student;19116
5420;F;Under 18;unemployed;14850
75;F;Under 18;K-12 student;1748
5844;F;Under 18;K-12 student;2131
997;M;Under 18;unemployed;15748
119;F;Under 18;K-12 student;77515
1878;M;Under 18;K-12 student;92846
6006;F;Under 18;other;1036
3234;F;Under 18;other;90012
1929;F;Under 18;K-12 student;91107
5558;M;Under 18;K-12 student;2446
634;F;Under 18;K-12 student;49512
719;M;Under 18;other;75070
349;M;Under 18;K-12 student;8035
2169;M;Under 18;other;95451
2120;M;Under 18;other;2780
4633;M;Under 18;other;48302
2176;M;Under 18;unemployed;73505
210;F;Under 18;K-12 student;25801
1926;F;Under 18;other;95404
2079;M;Under 18;K-12 student;45241
3460;M;Under 18;college/grad student;10012
1372;M;Under 18;K-12 student;95123
3710;M;Under 18;K-12 student;2818
1978;M;Under 18;K-12 student;43357
775;M;Under 18;technician/engineer;56258
2195;M;Under 18;K-12 student;60148
5296;F;Under 18;other;27245
4575;F;Under 18;K-12 student;3608
5114;F;Under 18;K-12 student;22932
2133;F;Under 18;K-12 student;1607
606;F;Under 18;K-12 student;49507
2137;F;Under 18;K-12 student;681
1458;M;Under 18;other;8055
4830;M;Under 18;K-12 student;55317
1045;F;Under 18;K-12 student;77477
4690;F;Under 18;K-12 student;79605
3087;F;Under 18;academic/educator;90802
1241;M;Under 18;K-12 student;11803
1198;M;Under 18;K-12 student;49544
5514;F;Under 18;K-12 student;76501
1818;M;Under 18;farmer;2254
4965;M;Under 18;K-12 student;63123-1507
1568;F;Under 18;K-12 student;94086
1935;M;Under 18;K-12 student;90405
5074;M;Under 18;other;20132
2346;F;Under 18;K-12 student;48105
2082;M;Under 18;unemployed;48323
5687;F;Under 18;other;55403
4478;M;Under 18;programmer;2138
875;M;Under 18;K-12 student;94707
4926;M;Under 18;K-12 student;55616
1499;M;Under 18;K-12 student;19343
888;F;Under 18;K-12 student;8820
2288;M;Under 18;K-12 student;13066
2858;F;Under 18;K-12 student;72601
2045;F;Under 18;other;24179
1300;M;Under 18;K-12 student;97201
1815;M;Under 18;academic/educator;30707
1857;M;Under 18;K-12 student;92106
2168;M;Under 18;K-12 student;60202
1084;M;Under 18;unemployed;3226
3190;M;Under 18;technician/engineer;97062
2217;M;Under 18;K-12 student;44906
5751;F;Under 18;other;14167
51;F;Under 18;K-12 student;10562
1573;M;Under 18;other;77479
2193;M;Under 18;K-12 student;41011
2910;M;Under 18;unemployed;75602
4764;M;Under 18;K-12 student;3608
580;M;Under 18;K-12 student;8534
1380;M;Under 18;K-12 student;58078
762;M;Under 18;K-12 student;63041
5459;F;Under 18;K-12 student;99016
5768;F;Under 18;executive/managerial;20852
4102;M;Under 18;K-12 student;48655
2806;M;Under 18;K-12 student;15208
5228;M;Under 18;other;75070
468;F;Under 18;K-12 student;55082
5243;M;Under 18;K-12 student;54220
4883;F;Under 18;K-12 student;2906
2467;M;Under 18;K-12 student;44224
5777;M;Under 18;other;5667
960;M;Under 18;K-12 student;45244
1365;F;Under 18;K-12 student;61665
4787;M;Under 18;lawyer;94610
5414;M;Under 18;K-12 student;7652
1348;F;Under 18;K-12 student;4240
